post_id;post_txt;post_lable
1;I got less but I got best!;n
2;I am Waiting for GF Message!;p
3;So many assume. So few know.;p
4;Stop saying I wish start saying I will;p
5;It costs $b.bb to be a decent person.;b
6;With Great power, Comes great ele bill.;b
7;I’m sorry my fault. I forgot you’re an Idiot.;b
8;Love yourself love your day love your life.;b
9;Sugar? No thanks, I am already sweet..;b
10;My heart is stolen… Can I check your bar..;p
11;Life is a story, Make yours the best seller!;b
12;Life is short. Smile ;p
13;You are my best reason to lose sleep.;p
14;I’m the dude with cool attitude!;p
15;I wish I had Google in my mind ;b
16;You have TO-GET-HER.;b
17;If you want to be TOGETHER.  ;p
18;Your Whatsapp status say’s online;p
19;… If your online then, why aren’t you ;b
20;Try to solve your problem yourself… ;p
21;Don’t Depend on other..!;b
22;Life begins at the end ;b
23;of your comfort zone.;b
24;Stop saying I wish start saying I will.;p
25;and antivirus in my heart.;p
26;Every people is a intelligent;n
27;When he work Hard! Goood feel;p
28;Please don’t get confused ;p
29;please smile ..to your life;p
30;Love yourself love your day love your life.;p
31;When he work Hard that is great;n
32;Don’t let a bad day ;p
33;make u feel u have a bad life.;n
34;I’ve got nothing to do today ;p
35;but smile.;b
36;Life is to short to remove USB slowly.;n
37;So many assume. So few know.;p
38;Nobody can teach me who I am.;p
39;‘Down’, It only means that you ;p
40;If people are trying to bring you ;p
41;I got less but I got best!;p
42;I’m cool but Summer made me hot!;p
43;I got less but I got best!;n
44;I am Waiting for GF Message!;p
45;So many assume. So few know.;p
46;Stop saying I wish start saying I will;p
47;It costs $b.bb to be a decent person.;b
48;With Great power, Comes great ele bill.;b
49;I’m sorry my fault. I forgot you’re an Idiot.;b
50;Love yourself love your day love your life.;b
51;Sugar? No thanks, I am already sweet..;b
52;My heart is stolen… Can I check your bar..;p
53;Life is a story, Make yours the best seller!;b
54;Life is short. Smile ;p
55;You are my best reason to lose sleep.;p
56;I’m the dude with cool attitude!;p
57;I wish I had Google in my mind ;b
58;You have TO-GET-HER.;b
59;If you want to be TOGETHER.  ;p
60;Your Whatsapp status say’s online;p
61;… If your online then, why aren’t you ;b
62;Try to solve your problem yourself… ;p
63;Don’t Depend on other..!;b
64;Life begins at the end ;b
65;of your comfort zone.;b
66;Stop saying I wish start saying I will.;p
67;and antivirus in my heart.;p
68;Every people is a intelligent;n
69;When he work Hard! Goood feel;p
70;Please don’t get confused ;p
71;please smile ..to your life;p
72;Love yourself love your day love your life.;p
73;When he work Hard that is great;n
74;Don’t let a bad day ;p
75;make u feel u have a bad life.;n
76;I’ve got nothing to do today ;p
77;but smile.;b
78;Life is to short to remove USB slowly.;n
79;So many assume. So few know.;p
80;Nobody can teach me who I am.;p
81;‘Down’, It only means that you ;p
82;If people are trying to bring you ;p
83;I got less but I got best!;p
84;I’m cool but Summer made me hot!;p
85;I got less but I got best!;n
86;I am Waiting for GF Message!;p
87;So many assume. So few know.;p
88;Stop saying I wish start saying I will;p
89;It costs $b.bb to be a decent person.;b
90;With Great power, Comes great ele bill.;b
91;I’m sorry my fault. I forgot you’re an Idiot.;b
92;Love yourself love your day love your life.;b
93;Sugar? No thanks, I am already sweet..;b
94;My heart is stolen… Can I check your bar..;p
95;Life is a story, Make yours the best seller!;b
96;Life is short. Smile ;p
97;You are my best reason to lose sleep.;p
98;I’m the dude with cool attitude!;p
99;I wish I had Google in my mind ;b
100;You have TO-GET-HER.;b
101;If you want to be TOGETHER.  ;p
102;Your Whatsapp status say’s online;p
103;… If your online then, why aren’t you ;b
104;Try to solve your problem yourself… ;p
105;Don’t Depend on other..!;b
106;Life begins at the end ;b
107;of your comfort zone.;b
108;Stop saying I wish start saying I will.;p
109;and antivirus in my heart.;p
110;Every people is a intelligent;n
111;When he work Hard! Goood feel;p
112;Please don’t get confused ;p
113;please smile ..to your life;p
114;Love yourself love your day love your life.;p
115;When he work Hard that is great;n
116;Don’t let a bad day ;p
117;make u feel u have a bad life.;n
118;I’ve got nothing to do today ;p
119;but smile.;b
120;Life is to short to remove USB slowly.;n
121;So many assume. So few know.;p
122;Nobody can teach me who I am.;p
123;‘Down’, It only means that you ;p
124;If people are trying to bring you ;p
125;I got less but I got best!;p
126;I’m cool but Summer made me hot!;p
127;I got less but I got best!;n
128;I am Waiting for GF Message!;p
129;So many assume. So few know.;p
130;Stop saying I wish start saying I will;p
131;It costs $b.bb to be a decent person.;b
132;With Great power, Comes great ele bill.;b
133;I’m sorry my fault. I forgot you’re an Idiot.;b
134;Love yourself love your day love your life.;b
135;Sugar? No thanks, I am already sweet..;b
136;My heart is stolen… Can I check your bar..;p
137;Life is a story, Make yours the best seller!;b
138;Life is short. Smile ;p
139;You are my best reason to lose sleep.;p
140;I’m the dude with cool attitude!;p
141;I wish I had Google in my mind ;b
142;You have TO-GET-HER.;b
143;If you want to be TOGETHER.  ;p
144;Your Whatsapp status say’s online;p
145;… If your online then, why aren’t you ;b
146;Try to solve your problem yourself… ;p
147;Don’t Depend on other..!;b
148;Life begins at the end ;b
149;of your comfort zone.;b
150;Stop saying I wish start saying I will.;p
151;and antivirus in my heart.;p
152;Every people is a intelligent;n
153;When he work Hard! Goood feel;p
154;Please don’t get confused ;p
155;please smile ..to your life;p
156;Love yourself love your day love your life.;p
157;When he work Hard that is great;n
158;Don’t let a bad day ;p
159;make u feel u have a bad life.;n
160;I’ve got nothing to do today ;p
161;but smile.;b
162;Life is to short to remove USB slowly.;n
163;So many assume. So few know.;p
164;Nobody can teach me who I am.;p
165;‘Down’, It only means that you ;p
166;If people are trying to bring you ;p
167;I got less but I got best!;p
168;I’m cool but Summer made me hot!;p
169;I got less but I got best!;n
170;I am Waiting for GF Message!;p
